iter	RMSE
0	2.612673791
1	2.601451184
2	2.589551871
3	2.573706577
4	2.558834102
5	2.550467886
6	2.530074971
7	2.507062731
8	2.492020133
9	2.480712305
10	2.47050116
11	2.45581353
12	2.447468522
13	2.436173054
14	2.428269706
15	2.412387709
16	2.401306847
17	2.390915728
18	2.376750708
19	2.372439413
20	2.36677721
21	2.351032041
22	2.341326983
23	2.332838704
24	2.326363385
25	2.322352525
26	2.31620118
27	2.307118022
28	2.299490371
29	2.283206611
30	2.279614098
31	2.27126484
32	2.265958959
33	2.25840556
34	2.25017183
35	2.237906821
36	2.228451536
37	2.220789278
38	2.212890257
39	2.205626243
40	2.195774041
41	2.189596075
42	2.184665759
43	2.174530927
44	2.169614856
45	2.159579976
46	2.157766687
47	2.147688556
48	2.139355674
49	2.134149938
50	2.126111322
51	2.118406773
52	2.115231432
53	2.110369523
54	2.098131614
55	2.09214233
56	2.082129348
57	2.071384453
58	2.062019831
59	2.054780059
60	2.051314157
61	2.045971255
62	2.036212327
63	2.028454106
64	2.023743973
65	2.021336131
66	2.014133404
67	2.005993263
68	1.99883213
69	1.996129034
70	1.99006069
71	1.983657274
72	1.977691699
73	1.971580755
74	1.965635888
75	1.962440677
76	1.954820317
77	1.951459421
78	1.941415029
79	1.934864369
80	1.926366008
81	1.925031086
82	1.919093902
83	1.91146393
84	1.907084579
85	1.899879691
86	1.893806273
87	1.886616606
88	1.883109138
89	1.876321927
90	1.868793468
91	1.861001293
92	1.858083588
93	1.8541059
94	1.848216644
95	1.841030406
96	1.835642489
97	1.833178859
98	1.826312054
99	1.813979021
100	1.810186711
101	1.804951248
102	1.798487315
103	1.795421368
104	1.791114974
105	1.783806336
106	1.778286231
107	1.770860356
108	1.760843047
109	1.75343094
110	1.747997754
111	1.744413623
112	1.732576249
113	1.722918541
114	1.720621477
115	1.717350991
116	1.713755033
117	1.707444724
118	1.705515994
119	1.697500557
120	1.688610687
121	1.682227947
122	1.672836827
123	1.667511445
124	1.663578258
125	1.659593507
126	1.656392955
127	1.652661399
128	1.649283808
129	1.643426287
130	1.636607046
131	1.633374493
132	1.628937884
133	1.623518559
134	1.622345227
135	1.619821891
136	1.614398231
137	1.608899802
138	1.600670128
139	1.598542678
140	1.596320884
141	1.594685469
142	1.589680696
143	1.586168822
144	1.584812192
145	1.577164255
146	1.57537667
147	1.567209459
148	1.562433591
149	1.560806863
150	1.556817354
151	1.555180836
152	1.549998941
153	1.546712129
154	1.544518905
155	1.542120666
156	1.53735828
157	1.532795431
158	1.528449063
159	1.525152422
160	1.523486046
161	1.516333839
162	1.506153455
163	1.500098608
164	1.49183122
165	1.488324839
166	1.484186346
167	1.480452441
168	1.478888372
169	1.473395792
170	1.469566723
171	1.464112547
172	1.460976822
173	1.457358935
174	1.456297875
175	1.449571325
176	1.439580692
177	1.429623815
178	1.424478609
179	1.414969014
180	1.405909155
181	1.402333814
182	1.398802313
183	1.389040882
184	1.386241398
185	1.382824498
186	1.375390122
187	1.37257319
188	1.365298348
189	1.363632815
190	1.362017226
191	1.354585595
192	1.353034374
193	1.349599025
194	1.340967309
195	1.339454141
196	1.335096039
197	1.333453394
198	1.326921456
199	1.325840016
200	1.322984754
201	1.321934727
202	1.317674558
203	1.313108491
204	1.312080042
205	1.311079187
206	1.306837059
207	1.30071961
208	1.299765673
209	1.295644082
210	1.291208781
211	1.290184582
212	1.289275641
213	1.288391012
214	1.280167189
215	1.276607084
216	1.268702663
217	1.261110024
218	1.255813549
219	1.252665118
220	1.249823949
221	1.247051964
222	1.244347321
223	1.241469032
224	1.239055653
225	1.233188838
226	1.230818859
227	1.225967292
228	1.218541094
229	1.217187069
230	1.216250615
231	1.21198758
232	1.204843245
233	1.199889629
234	1.197205106
235	1.194569366
236	1.187852197
237	1.182405717
238	1.181087547
239	1.178688147
240	1.174695268
241	1.172107118
242	1.165584767
243	1.163047416
244	1.161769429
245	1.155472285
246	1.147203813
247	1.145952501
248	1.144739294
249	1.139634351
250	1.13846944
251	1.136676068
252	1.128719576
253	1.122629656
254	1.117709295
255	1.116016628
256	1.108352017
257	1.102312559
258	1.094963052
259	1.089141876
260	1.086830918
261	1.085706966
262	1.080894411
263	1.079418015
264	1.072353671
265	1.070241963
266	1.06661158
267	1.061307344
268	1.055294892
269	1.04866173
270	1.0462513
271	1.0411793
272	1.034442639
273	1.032154843
274	1.027332997
275	1.026396405
276	1.019972909
277	1.017656957
278	1.016727475
279	1.013627576
280	1.007474551
281	1.005450479
282	1.004543695
283	1.001524286
284	1.00064264
285	0.997689601
286	0.9915128499
287	0.9889501225
288	0.9863402271
289	0.9844855363
290	0.983736665
291	0.9812079717
292	0.9794164908
293	0.9736273064
294	0.9689414117
295	0.9675909703
296	0.9651590095
297	0.9596446753
298	0.9571346786
299	0.951661834
300	0.9464869942
301	0.9440884152
302	0.9396081919
303	0.9382594597
304	0.9369477028
305	0.9345943999
306	0.9304695829
307	0.9291819514
308	0.9249733954
309	0.9237149653
310	0.9192023028
311	0.9179725863
312	0.9156590738
313	0.9125887357
314	0.9077584769
315	0.9034202343
316	0.8998328879
317	0.8976753643
318	0.8964496308
319	0.8943457721
320	0.8904503964
321	0.8892472749
322	0.8871203531
323	0.8850555489
324	0.8818691002
325	0.8807180579
326	0.8765078197
327	0.8745094947
328	0.8724852464
329	0.871377267
330	0.869544805
331	0.8675655002
332	0.8630836007
333	0.8613164727
334	0.8579324874
335	0.8560188032
336	0.8541572215
337	0.8504713726
338	0.8493823407
339	0.8483230477
340	0.8464363955
341	0.8446050067
342	0.8404094731
343	0.8367627552
344	0.8332870303
345	0.8297349225
346	0.8286879956
347	0.8253465995
348	0.8225090958
349	0.8214852202
350	0.8204893261
351	0.8164613448
352	0.8146666659
353	0.8118087633
354	0.8100788453
355	0.8084169595
356	0.8056528568
357	0.8046691348
358	0.8030640337
359	0.8021099139
360	0.8004545917
361	0.7995339977
362	0.7969501115
363	0.7944102515
364	0.7930184557
365	0.7921241269
366	0.7907969303
367	0.7892369593
368	0.7883692536
369	0.7859399595
370	0.7846716035
371	0.780655789
372	0.779464536
373	0.7759085515
374	0.7733607011
375	0.7698114371
376	0.7683176663
377	0.7658347669
378	0.7650079773
379	0.7642079862
380	0.7633515313
381	0.760931105
382	0.7604129782
383	0.7582138717
384	0.7550041893
385	0.7541661395
386	0.752807194
387	0.7520685437
388	0.7512743717
389	0.7489283437
390	0.7484267283
391	0.7453382736
392	0.7440476304
393	0.7427905613
394	0.7415661105
395	0.740373357
396	0.7391320287
397	0.7363139331
398	0.7351224289
399	0.7325871898
