iter	Passed	Remaining
0	133	53160
1	134	26692
2	134	17843
3	135	13427
4	136	10759
5	136	8988
6	137	7719
7	138	6767
8	138	6029
9	139	5439
10	140	4953
11	140	4552
12	141	4210
13	142	3918
14	143	3677
15	144	3478
16	145	3284
17	146	3108
18	147	2953
19	148	2813
20	148	2685
21	149	2569
22	150	2461
23	151	2367
24	151	2278
25	152	2191
26	153	2116
27	154	2046
28	154	1980
29	155	1917
30	156	1858
31	156	1803
32	157	1752
33	158	1705
34	159	1659
35	159	1616
36	160	1574
37	161	1534
38	161	1497
39	162	1461
40	162	1427
41	163	1394
42	164	1363
43	164	1333
44	165	1304
45	166	1278
46	166	1249
47	166	1224
48	167	1200
49	168	1176
50	168	1155
51	169	1133
52	169	1111
53	170	1091
54	171	1072
55	171	1054
56	172	1037
57	173	1020
58	173	1004
59	174	988
60	174	972
61	175	957
62	176	941
63	176	927
64	177	914
65	178	901
66	178	888
67	179	875
68	180	863
69	180	852
70	181	841
71	182	830
72	182	819
73	183	807
74	183	797
75	184	787
76	185	777
77	186	768
78	186	758
79	187	749
80	187	740
81	188	729
82	188	721
83	189	712
84	189	704
85	190	695
86	191	688
87	191	680
88	192	672
89	193	665
90	193	657
91	194	650
92	194	643
93	195	635
94	195	629
95	196	622
96	197	615
97	197	608
98	198	602
99	198	596
100	199	590
101	200	584
102	200	578
103	201	572
104	201	566
105	202	561
106	203	556
107	203	551
108	204	545
109	205	541
110	205	535
111	206	530
112	207	525
113	207	520
114	208	515
115	208	511
116	209	506
117	210	502
118	210	496
119	210	492
120	211	487
121	212	483
122	213	479
123	213	475
124	214	471
125	214	467
126	215	463
127	216	459
128	216	455
129	217	451
130	217	447
131	218	443
132	219	439
133	219	435
134	220	431
135	220	428
136	221	424
137	221	420
138	222	417
139	222	413
140	223	410
141	224	407
142	224	403
143	225	400
144	225	396
145	226	394
146	227	390
147	227	387
148	228	384
149	229	382
150	229	379
151	230	376
152	231	373
153	231	370
154	232	367
155	233	364
156	233	361
157	234	359
158	235	356
159	235	353
160	236	350
161	236	348
162	237	345
163	238	342
164	239	340
165	239	338
166	240	335
167	241	333
168	241	330
169	242	328
170	243	325
171	243	323
172	244	320
173	245	318
174	245	316
175	246	313
176	247	311
177	247	309
178	248	306
179	249	304
180	249	302
181	250	299
182	250	297
183	251	295
184	252	293
185	252	291
186	253	288
187	254	286
188	255	284
189	255	282
190	256	280
191	257	278
192	257	276
193	258	274
194	259	272
195	259	270
196	260	268
197	261	266
198	261	264
199	262	262
200	263	260
201	264	258
202	264	256
203	265	254
204	266	253
205	266	251
206	267	249
207	268	247
208	268	245
209	269	243
210	270	241
211	270	240
212	271	238
213	272	236
214	272	234
215	273	232
216	274	231
217	274	229
218	275	227
219	276	225
220	276	224
221	277	222
222	277	220
223	278	218
224	279	217
225	279	215
226	280	213
227	281	212
228	281	210
229	282	208
230	283	207
231	284	205
232	284	204
233	285	202
234	286	200
235	286	199
236	287	197
237	287	195
238	288	194
239	289	192
240	289	191
241	290	189
242	291	188
243	291	186
244	292	185
245	293	183
246	293	182
247	294	180
248	295	178
249	295	177
250	296	175
251	297	174
252	297	172
253	298	171
254	299	170
255	299	168
256	300	167
257	301	165
258	301	164
259	302	162
260	303	161
261	303	160
262	304	158
263	305	157
264	305	155
265	306	154
266	307	153
267	307	151
268	308	150
269	309	148
270	309	147
271	310	146
272	311	144
273	311	143
274	312	142
275	313	140
276	313	139
277	314	138
278	315	136
279	315	135
280	316	134
281	317	132
282	317	131
283	318	130
284	319	128
285	319	127
286	320	126
287	321	124
288	321	123
289	322	122
290	322	120
291	323	119
292	324	118
293	325	117
294	325	115
295	326	114
296	327	113
297	327	112
298	328	110
299	329	109
300	329	108
301	330	107
302	330	105
303	331	104
304	332	103
305	332	102
306	333	100
307	334	99
308	334	98
309	335	97
310	336	96
311	336	94
312	337	93
313	337	92
314	338	91
315	339	90
316	340	89
317	340	87
318	341	86
319	342	85
320	342	84
321	343	83
322	344	82
323	344	80
324	345	79
325	346	78
326	346	77
327	347	76
328	348	75
329	348	74
330	349	72
331	350	71
332	350	70
333	351	69
334	352	68
335	352	67
336	353	66
337	354	64
338	354	63
339	355	62
340	356	61
341	356	60
342	357	59
343	358	58
344	358	57
345	359	56
346	360	55
347	360	53
348	361	52
349	362	51
350	363	50
351	364	49
352	364	48
353	365	47
354	366	46
355	366	45
356	367	44
357	368	43
358	368	42
359	369	41
360	370	40
361	371	38
362	371	37
363	372	36
364	372	35
365	373	34
366	374	33
367	375	32
368	375	31
369	376	30
370	377	29
371	377	28
372	378	27
373	379	26
374	379	25
375	380	24
376	380	23
377	381	22
378	382	21
379	382	20
380	383	19
381	383	18
382	384	17
383	385	16
384	385	15
385	386	14
386	387	13
387	387	11
388	388	10
389	389	9
390	389	8
391	390	7
392	391	6
393	391	5
394	392	4
395	392	3
396	393	2
397	394	1
398	394	0
399	395	0
